(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Mobile/Unlit (Supports Lightmap),Standard (3400 verts): 
		ware_house_light1_2 (425 verts)	-1	True	False	False	2	[warehouse_lights_mat (UnityEngine.Material)] [ware_house_light_bulb_mat (UnityEngine.Material)] 	
		ware_house_light1_3 (425 verts)	-1	True	False	False	2	[warehouse_lights_mat (UnityEngine.Material)] [ware_house_light_bulb_mat (UnityEngine.Material)] 	
		ware_house_light1_5 (425 verts)	-1	True	False	False	2	[warehouse_lights_mat (UnityEngine.Material)] [ware_house_light_bulb_mat (UnityEngine.Material)] 	
		ware_house_light1_7 (425 verts)	-1	True	False	False	2	[warehouse_lights_mat (UnityEngine.Material)] [ware_house_light_bulb_mat (UnityEngine.Material)] 	
		ware_house_light1_6 (425 verts)	-1	True	False	False	2	[warehouse_lights_mat (UnityEngine.Material)] [ware_house_light_bulb_mat (UnityEngine.Material)] 	
		ware_house_light1_4 (425 verts)	-1	True	False	False	2	[warehouse_lights_mat (UnityEngine.Material)] [ware_house_light_bulb_mat (UnityEngine.Material)] 	
		ware_house_light1_1 (425 verts)	-1	True	False	False	2	[warehouse_lights_mat (UnityEngine.Material)] [ware_house_light_bulb_mat (UnityEngine.Material)] 	
		ware_house_light1_8 (425 verts)	-1	True	False	False	2	[warehouse_lights_mat (UnityEngine.Material)] [ware_house_light_bulb_mat (UnityEngine.Material)] 	
	Mobile/VertexLit (32 verts): 
		ware_house_glass_windows1 (16 verts)	-1	True	False	False	1	[ware_house_glass_windows_mat (UnityEngine.Material)] 	
		ware_house_glass_windows1 (16 verts)	-1	True	False	False	1	[ware_house_glass_windows_mat (UnityEngine.Material)] 	
	Standard (523760 verts): 
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (11) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		sandbags (12) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		sandbags (39) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (44) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		jeep_left_Front_wheel (206 verts)	-1	True	False	False	1	[Jeep_tire_diffuse (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Bench (1014 verts)	-1	True	False	False	1	[Bench_difusejpg (UnityEngine.Material)] 	
		sandbags (35) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (16) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (21) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (10) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (48) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (7) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		car3_body_LOD2 (749 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		Barrel_1 (10) (1112 verts)	-1	True	False	False	1	[Barrel_01 diffuse (UnityEngine.Material)] 	
		sandbags (32) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (52) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (41) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (6) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		car3_body_LOD0 (3713 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		ware_house_ground (1) (121 verts)	-1	True	False	False	1	[Street-T (UnityEngine.Material)] 	
		sandbags (8) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (26) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (51) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Prop_Crate04 (15) (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		sandbags (43) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		car3_RightFrontWheel (3) (357 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		car3_LeftFrontWheel (357 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		container_2 (6) (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		sandbags (24) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (30) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		ware_house_corner_box2 (944 verts)	-1	True	False	False	1	[warehouse_corner_box_mat (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (38) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (45) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		ware_house_window_frames6 (120 verts)	-1	True	False	False	1	[ware_house_window_frames_mat (UnityEngine.Material)] 	
		sandbags (37) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (26) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		container_2 (12) (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (50) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		ware_house_walls (368 verts)	-1	True	False	False	1	[ware_house_walls1_mat (UnityEngine.Material)] 	
		sandbags (52) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Prop_Crate04 (6) (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		sandbags (63) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (49) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		jeep_right_rear_wheel (205 verts)	-1	True	False	False	1	[Jeep_tire_diffuse (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		Prop_Crate04 (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		sandbags (50) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		car3_body_LOD0 (3713 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		sandbags (15) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (27) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		car3_body_LOD1 (2117 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		jeep_stepney (208 verts)	-1	True	False	False	1	[Jeep_tire_diffuse (UnityEngine.Material)] 	
